Time, XRP(Price), Cash, Market Value, Shares,
34821, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34892, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34963, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
35033, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
35104, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
35175, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
35245, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
35316, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
35386, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
35457, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
35528, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
35598, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
35669, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
35739, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
35810, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
35881, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
35951, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36022, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36092, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36163, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36233, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36304, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36375, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36445, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36516, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36586, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36657, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36727, 0.19072068, 538.4905016558365, 643.9618438367099, 3376.46575, 
36798, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
36868, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
36939, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
37010, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
37080, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
37151, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
